# pair/deathmatch
# 3
# m1	m2		s1x				s1y				s1z				s2x				s2y				s2z				qm1	qm2	incl		fI	fL		d	dt				pnorder			spin-inter
  34	3.4		0.0790765695	0.1589679868	0.9820794649	0.118388124		-0.1715059157	0.9759989616	1	1	1.429888	50	2000	1	6.1035156e-05	twoPointFivePN	QM
  34	3.4		0.0790765695	0.1589679868	0.9820794649	0.118388124		-0.1715059157	0.9759989616	1	1	1.429888	50	2000	1	6.1035156e-05	twoPointFivePN	QM
# 
  3.4	3.4		0.0790765695	0.1589679868	0.9820794649	0.118388124		-0.1715059157	0.9759989616	1	1	1.429888	50	2000	1	6.1035156e-05	twoPointFivePN	QM
  31	3.4		0.0790765695	0.1589679868	0.9820794649	0.118388124		-0.1715059157	0.9759989616	1	1	1.429888	50	2000	1	6.1035156e-05	twoPointFivePN	QM
# 
  3.4	3.4		0.0790765695	0.1589679868	0.9820794649	0.118388124		-0.1715059157	0.9759989616	1	1	1.429888	50	2000	1	6.1035156e-05	twoPN			QM
  31	3.4		0.0790765695	0.1589679868	0.9820794649	0.118388124		-0.1715059157	0.9759989616	1	1	1.429888	50	2000	1	6.1035156e-05	twoPointFivePN	ALL
